Data;Vendas
2022-12-06;870
2022-12-07;868
2022-12-08;1189
2022-12-09;742
2022-12-10;317
2022-12-11;685
2022-12-12;1366
2022-12-13;1213
2022-12-14;1055
2022-12-15;1343
2022-12-16;832
2022-12-17;240
2022-12-18;235
2022-12-19;1050
2022-12-20;711
2022-12-21;745
2022-12-22;1009
2022-12-23;18
2022-12-24;40
2022-12-25;67
2022-12-26;821
2022-12-27;572
2022-12-28;429
2022-12-29;638
2022-12-30;106
2022-12-31;54
2023-01-01;144
2023-01-02;814
2023-01-03;679
2023-01-04;712
2023-01-05;1229
2023-01-06;821
2023-01-07;319
2023-01-08;317
2023-01-09;1317
2023-01-10;807
2023-01-11;923
2023-01-12;1265
2023-01-13;892
2023-01-14;289
2023-01-15;566
2023-01-16;1692
2023-01-17;1097
2023-01-18;1302
2023-01-19;1405
2023-01-20;945
